# Mouse strain panel for the genome-wide impg build (one per line: accession <TAB> sample-name).
# The sample-name becomes the PanSN prefix (sample#hap#contig), so keep it
# filesystem/PAF-safe (no '#', '/', or whitespace). GRCm39 is listed first as the
# projection reference, since the curated pangenome loci use GRCm39 coordinates.
GCF_000001635.27	GRCm39
GCA_964188535.1	C57BL_6J_T2T
GCA_964188545.1	CAST_EiJ_T2T
GCA_921999865.2	C57BL_6NJ
GCA_947593165.1	NZO_HlLtJ
GCA_921997145.2	BALB_cJ
GCA_921998635.2	FVB_NJ
GCA_921998555.2	129S1_SvImJ
GCA_921997125.2	C3H_HeJ
GCA_922000895.2	AKR_J
GCA_921998315.2	DBA_2J
GCA_921998355.2	A_J
GCA_947599735.1	LP_J
GCA_921998325.2	NOD_ShiLtJ
GCA_921998905.2	CBA_J
GCA_921999005.2	CAST_EiJ
GCA_921998345.2	WSB_EiJ
GCA_921999095.2	JF1_MsJ
GCA_921998335.2	PWK_PhJ
